iter	Passed	Remaining
394	5016	1333
395	5027	1320
396	5040	1307
397	5052	1294
398	5065	1282
399	5075	1268
400	5092	1257
401	5102	1243
402	5115	1231
403	5126	1218
404	5136	1204
405	5146	1191
406	5155	1178
407	5167	1165
408	5181	1152
409	5190	1139
410	5200	1126
411	5212	1113
412	5226	1100
413	5237	1088
414	5249	1075
415	5259	1062
416	5270	1049
417	5281	1036
418	5293	1023
419	5306	1010
420	5315	997
421	5327	984
422	5337	971
423	5351	959
424	5361	946
425	5371	933
426	5384	920
427	5394	907
428	5404	894
429	5415	881
430	5425	868
431	5436	855
432	5447	842
433	5460	830
434	5473	817
435	5484	805
436	5495	792
437	5509	779
438	5522	767
439	5532	754
440	5541	741
441	5562	729
442	5579	717
443	5601	706
444	5627	695
445	5643	683
446	5660	671
447	5680	659
448	5699	647
449	5717	635
450	5734	623
451	5748	610
452	5759	597
453	5772	584
454	5784	572
455	5797	559
456	5809	546
457	5820	533
458	5835	521
459	5845	508
460	5858	495
461	5869	482
462	5880	469
463	5890	457
464	5901	444
465	5911	431
466	5922	418
467	5934	405
468	5944	392
469	5956	380
470	5968	367
471	5979	354
472	5991	341
473	6001	329
474	6011	316
475	6022	303
476	6032	290
477	6042	278
478	6053	265
479	6063	252
480	6075	239
481	6086	227
482	6096	214
483	6105	201
484	6117	189
485	6127	176
486	6141	163
487	6153	151
488	6163	138
489	6172	125
490	6182	113
491	6194	100
492	6204	88
493	6216	75
494	6226	62
495	6237	50
496	6248	37
497	6258	25
498	6268	12
499	6278	0
