iter	Logloss
361	0.2078720739
362	0.2078135155
363	0.2077165866
364	0.2076192035
365	0.2075462416
366	0.2074983388
367	0.2074371465
368	0.2073876516
369	0.2073108873
370	0.2072365152
371	0.2071266879
372	0.2070509193
373	0.2069653231
374	0.2068729448
375	0.2067954558
376	0.2067312707
377	0.2066339725
378	0.2065457065
379	0.206492863
380	0.2064428656
381	0.2063784705
382	0.2063085996
383	0.2062177684
384	0.2061159301
385	0.2060436751
386	0.2059878047
387	0.2059009055
388	0.2057913122
389	0.2057219304
390	0.2056463435
391	0.2055560939
392	0.2054861462
393	0.2054308545
394	0.2053871265
395	0.2053052322
396	0.2052111121
397	0.205150195
398	0.2050621878
399	0.204996865
400	0.2048777758
401	0.2048227382
402	0.2047265827
403	0.2046180285
404	0.2045715695
405	0.204521002
406	0.204462056
407	0.2043781481
408	0.2042720517
409	0.2042216904
410	0.2041522814
411	0.2041013898
412	0.2040367201
413	0.203944234
414	0.2038754953
415	0.2038366723
416	0.2037748284
417	0.2037307739
418	0.203636491
419	0.2035557552
420	0.2035066959
421	0.2034364939
422	0.2033746031
423	0.2032974121
424	0.2032489006
425	0.203181392
426	0.2031156712
427	0.2030654492
428	0.2030175655
429	0.2029533512
430	0.2028825815
431	0.2028357264
432	0.2027693841
433	0.2026803088
434	0.2026185202
435	0.2025639944
436	0.202491985
437	0.2024197583
438	0.2023553037
439	0.2022977873
440	0.2022623481
441	0.2021835624
442	0.2021450488
443	0.2020670049
444	0.201994607
445	0.2019385358
446	0.2018524291
447	0.2018084764
448	0.2017650779
449	0.2017116593
450	0.2016791722
451	0.2016266881
452	0.201547712
453	0.2014847098
454	0.2014097098
455	0.2013500927
456	0.2013011299
457	0.2012570601
458	0.2011766268
459	0.2011328577
460	0.2010454113
461	0.2009850323
462	0.2009430932
463	0.2008958078
464	0.200844347
465	0.2007879625
466	0.2007318523
467	0.2006666601
468	0.2006109513
469	0.200567512
470	0.2005231976
471	0.2004750921
472	0.2004176437
473	0.2003644646
474	0.2003154182
475	0.2002615783
476	0.2002175648
477	0.2001659341
478	0.2001087182
479	0.2000630856
480	0.2000048228
481	0.1999323988
482	0.1998458544
483	0.1998102903
484	0.1997339501
485	0.1996763639
486	0.199589099
487	0.199524063
488	0.1994778391
489	0.1994416048
490	0.1994055097
491	0.1993622812
492	0.1993107355
493	0.1992357462
494	0.1991938352
495	0.1991326453
496	0.1990899493
497	0.1990595917
498	0.1990029315
499	0.1989536864
